"1 Country","2 Birth rate, crude (per 1,000 people)","3 GDP per capita (current US$)","4 Health expenditure per capita (current US$)","5 Improved sanitation facilities (% of population with access)","6 Improved water source (% of population with access)","7 Internet users (per 100 people)","8 Labor participation rate, female (% of female population ages 15+)","9 Life expectancy at birth, total (years)","10 Literacy rate, adult total (% of people ages 15 and above)","11 Mobile cellular subscriptions (per 100 people)","12 Mortality rate, infant (per 1,000 live births)","13 Physicians (per 1,000 people)","14 Rural population (% of total population)","15 Strength of legal rights index (0=weak to 10=strong)","16 Telephone lines (per 100 people)","17 Ex-colony"
Gambia,38.1,550.7,26.1,68.0,89.0,9.2,72.4,58.2,50.0,85.5,58.3,0.0,43.3,5.0,2.8,1
Georgia,11.9,2613.7,271.6,95.0,98.0,26.3,55.6,73.3,99.7,91.4,19.2,4.8,47.3,7.0,25.4,0
Germany,8.3,40163.8,4668.3,100.0,100.0,82.5,52.9,80.0,99.0,127.0,3.4,3.6,26.2,7.0,64.2,0
Ghana,31.5,1319.1,67.0,14.0,86.0,9.6,66.8,63.8,67.3,71.5,53.0,0.1,48.8,8.0,1.1,1
Greece,9.7,25832.2,2729.4,98.0,100.0,44.6,44.5,80.4,97.2,108.2,3.9,6.2,38.8,4.0,51.7,0
Grenada,19.4,7499.5,439.2,97.0,?.0,33.5,?.0,75.7,98.0,116.7,10.5,?.0,61.2,8.0,27.2,1
Guatemala,32.3,2873.1,196.2,78.0,92.0,10.5,48.8,70.8,75.2,125.6,25.2,?.0,50.7,8.0,10.4,1
Guinea,38.8,474.5,23.0,18.0,74.0,1.0,65.2,53.6,41.0,40.1,81.2,0.1,65.0,3.0,0.2,1
Guinea-Bissau,38.3,551.3,46.9,20.0,64.0,2.5,67.8,47.7,54.2,?.0,98.6,0.0,56.8,3.0,0.3,1
Guyana,18.1,2994.4,180.4,84.0,94.0,29.9,41.3,69.5,99.0,73.6,30.3,?.0,71.7,4.0,19.9,1
Haiti,26.6,663.9,46.4,17.0,69.0,8.4,59.8,61.8,53.0,40.0,67.5,?.0,48.0,3.0,0.5,1
Honduras,26.7,2018.8,136.9,77.0,87.0,11.1,41.9,72.8,84.8,125.1,18.9,?.0,48.4,6.0,8.8,1
Hungary,9.0,12863.1,942.3,100.0,100.0,52.9,43.8,74.2,99.0,120.3,5.7,3.0,31.0,7.0,29.8,0
Iceland,15.4,39522.0,3722.3,100.0,100.0,95.6,70.8,81.5,99.0,106.5,1.8,3.7,6.4,7.0,60.5,0
India,22.2,1375.4,54.2,34.0,92.0,7.5,29.0,65.1,61.0,61.4,48.6,0.6,69.1,8.0,2.9,1
Indonesia,18.2,2951.7,76.9,54.0,82.0,10.9,51.0,68.9,90.0,88.1,25.8,0.3,50.1,3.0,17.1,1
Iran,17.1,12900.0,316.9,100.0,96.0,16.0,16.1,72.8,77.0,73.1,22.1,0.9,31.1,4.0,34.9,0
Iraq,35.4,2532.3,246.8,73.0,79.0,2.5,14.3,68.5,78.2,73.5,31.4,0.7,33.5,3.0,5.4,0
Ireland,16.5,45873.2,4241.6,99.0,100.0,69.8,52.4,80.3,99.0,105.2,3.4,3.2,38.1,9.0,46.5,0
Israel,21.8,28522.4,2183.2,100.0,100.0,65.7,52.5,81.5,97.0,122.8,3.7,3.7,8.2,9.0,45.9,0
Italy,9.3,33786.6,3247.7,?.0,100.0,53.7,37.7,81.7,98.9,149.6,3.3,3.5,31.8,3.0,35.5,0
Jamaica,16.0,4964.2,247.3,80.0,93.0,28.1,56.0,72.8,86.6,116.1,16.3,?.0,48.0,8.0,9.6,1
Japan,8.5,43063.1,4065.4,100.0,100.0,77.6,49.5,82.9,99.0,97.4,2.4,2.1,9.5,7.0,51.9,0
Jordan,25.0,4370.0,357.4,98.0,97.0,27.8,15.3,73.3,92.6,107.0,18.4,2.5,17.5,2.0,7.8,0
Kazakhstan,22.4,9070.0,393.1,97.0,95.0,31.0,66.4,68.3,99.7,121.1,25.8,4.1,46.3,3.0,25.3,0
Kenya,37.6,794.8,36.8,32.0,59.0,14.0,61.2,56.5,87.4,61.6,50.1,?.0,76.4,10.0,0.9,1
Korea Dem.R.,14.3,1800.0,?.0,80.0,98.0,?.0,71.8,68.5,99.0,1.8,26.3,?.0,39.8,?.0,4.8,0
Korea Rep.,9.4,20540.2,1438.8,100.0,98.0,81.6,49.2,80.8,98.0,105.4,4.2,2.0,17.1,8.0,59.2,0
Kuwait,18.2,45436.8,1223.3,100.0,99.0,61.4,43.3,74.6,93.0,160.8,9.4,1.8,1.8,4.0,20.7,1
Kyrgyz Rep,26.6,880.0,53.5,93.0,90.0,18.0,55.2,69.4,99.0,98.9,27.9,2.3,64.7,10.0,9.2,0
Laos,22.8,1158.1,46.2,63.0,67.0,7.0,76.6,67.1,73.0,64.6,35.2,0.3,66.9,4.0,1.7,1
Latvia,8.6,10723.4,717.6,?.0,99.0,68.8,54.7,73.5,99.8,102.4,7.6,3.0,32.3,10.0,23.6,0
Lebanon,15.4,8781.4,651.0,?.0,100.0,43.7,22.5,72.4,87.0,68.0,8.5,3.5,12.9,3.0,21.0,1
Lesotho,27.8,1003.7,108.9,26.0,78.0,3.9,58.7,47.4,89.6,45.5,67.2,?.0,73.2,6.0,1.8,1
Liberia,39.1,323.6,29.2,18.0,73.0,2.3,57.8,56.1,60.8,39.3,61.2,0.0,52.2,4.0,0.1,0
Libya,23.1,15200.0,483.7,97.0,?.0,14.0,30.4,74.8,89.2,171.5,13.5,1.9,22.4,?.0,19.3,1
Lithuania,10.8,11046.1,781.4,?.0,?.0,62.8,53.9,73.3,99.7,147.2,5.1,3.6,33.0,5.0,22.1,0
Luxembourg,11.6,103574.2,8181.1,100.0,100.0,90.7,48.9,80.1,?.0,143.3,2.4,2.8,14.8,5.0,53.7,0
Macedonia,10.8,4434.5,316.9,88.0,100.0,51.9,42.7,74.6,97.3,104.5,9.2,2.6,40.8,7.0,20.0,0
Madagascar,35.3,426.6,15.9,15.0,46.0,1.7,83.5,66.5,69.0,37.2,44.3,0.2,68.1,2.0,0.7,1
Malawi,44.3,362.3,25.6,51.0,83.0,2.3,85.0,53.5,74.8,20.9,56.1,0.0,84.5,7.0,1.0,1
Malaysia,20.3,8690.6,367.9,96.0,100.0,56.3,43.7,74.0,93.1,119.2,5.8,0.9,28.0,10.0,16.1,1
Maldives,16.8,6570.4,382.5,97.0,98.0,28.3,55.1,76.6,94.0,156.5,10.6,1.6,60.0,4.0,9.0,1
Mali,46.4,613.0,31.7,22.0,64.0,1.9,36.8,51.0,31.1,48.4,99.6,0.0,65.7,3.0,0.7,1
Malta,9.6,19624.9,1696.9,100.0,100.0,63.1,35.0,80.9,93.0,109.4,5.1,3.1,5.3,?.0,58.8,0
Mauritania,33.8,1044.5,42.7,26.0,50.0,4.0,28.4,58.2,58.0,79.3,75.9,0.1,58.8,3.0,2.1,1
Mauritius,11.7,7577.1,448.9,89.0,99.0,28.7,43.9,73.0,88.5,91.7,13.0,?.0,58.2,6.0,29.8,1
Mexico,19.5,9127.5,603.7,85.0,96.0,31.1,43.9,76.7,93.1,80.6,14.1,2.0,22.2,5.0,17.5,1
Micronesia ,24.7,2648.2,366.2,?.0,?.0,20.0,?.0,68.8,89.0,24.8,33.9,0.2,77.5,7.0,7.6,1
Moldova,12.3,1631.5,190.4,85.0,96.0,32.4,37.9,68.9,98.5,88.6,14.3,2.7,53.1,8.0,32.5,0
Mongolia,23.5,2249.8,120.1,51.0,82.0,12.9,53.9,68.2,97.4,91.1,27.3,2.8,32.4,6.0,7.0,0
Montenegro,12.3,6509.7,578.3,90.0,98.0,37.5,?.0,74.3,98.4,185.3,6.8,2.1,36.9,10.0,26.8,0
Morocco,19.5,2795.5,148.0,70.0,83.0,49.0,25.9,71.9,52.0,100.1,29.4,0.6,43.3,3.0,11.7,1
Mozambique,37.7,393.7,21.3,18.0,47.0,4.2,86.3,49.7,56.1,30.9,75.7,0.0,69.0,3.0,0.4,1
Myanmar,17.3,1300.0,17.1,76.0,83.0,0.3,75.0,64.7,92.3,1.2,49.3,0.5,67.9,?.0,1.0,1
Namibia,26.3,4876.0,361.3,32.0,93.0,11.6,58.4,62.1,88.8,67.2,31.8,0.4,62.2,8.0,6.9,1
Nepal,24.1,534.5,29.8,31.0,89.0,7.9,80.3,68.4,60.3,30.7,40.6,?.0,83.3,7.0,2.8,0
Netherlands,11.1,46622.9,5593.1,100.0,100.0,90.7,58.3,80.7,99.0,115.4,3.5,2.9,17.3,6.0,43.5,0
New Zealand,14.8,32407.1,3278.6,?.0,100.0,83.0,61.5,80.7,99.0,107.8,4.8,2.7,13.8,10.0,43.0,1
Nicaragua,23.8,1455.8,103.4,52.0,85.0,10.0,46.2,73.7,68.0,68.5,22.7,?.0,42.7,3.0,4.5,1
Niger,48.5,348.8,18.3,9.0,49.0,0.8,39.8,54.3,29.0,24.5,68.5,0.0,82.4,3.0,0.5,1
Nigeria,39.9,1443.2,62.8,31.0,58.0,24.0,47.8,51.4,61.3,55.1,80.8,0.4,51.0,9.0,0.7,1
Norway,12.6,85443.1,8091.3,100.0,100.0,93.3,61.5,81.0,100.0,115.7,2.7,4.2,20.9,6.0,45.4,0
Oman,17.9,20790.8,574.3,99.0,89.0,62.0,28.0,73.1,81.0,165.5,7.9,1.9,26.8,4.0,10.1,0
